Image,Time_Condition,Response,Stimulus
,1,longer,default
,0.5,shorter,default
,1.5,longer,default
,1.5,longer,default
,0.5,shorter,default
,1.5,longer,default
,1.5,longer,default
,0.5,shorter,default
,1.5,longer,default
,1,shorter,default
,0.5,shorter,default
,1,shorter,default
,1.5,longer,default
,0.5,shorter,default
,1,shorter,default
,1,shorter,default
,1,shorter,default
,1,shorter,default
,0.5,shorter,default
,1,shorter,default
,0.5,shorter,default
,0.5,shorter,default
,1,longer,default
,1,shorter,default
,0.5,shorter,default
,1.5,longer,default
,0.5,shorter,default
,1,shorter,default
,1,shorter,default
,0.5,shorter,default
