Image1,Time_Condition,Response
default,2,0.812267374945804
default,1,0.616302791051567
default,2,1.19576362497173
default,1,0.460055083036423
default,1,0.584312541875988
default,1,0.932315125130117
default,2,0.928281166125089
default,2,1.31627524993382
default,1,0.728335874853656
default,1,1.19230587501079
default,1,0.748305124929175
default,1,1.15626504202373
default,2,1.2122550830245
default,2,1.13681399985217
default,2,0.976278833113611
default,1,0.568411125103012
default,1,1.00830983393826
default,2,0.864253500010818
default,2,0.916295917006209
default,2,1.36818679096177
