Image1,Time_Condition,Response
default,1,1.2803179170005
default,2,2.03382900008
default,2,1.69628766714595
default,1,0.992309166816995
default,1,0.884280416183174
default,1,0.964300124906003
default,1,1.0122728748247
default,1,0.880308208055794
default,1,0.800291833933443
default,2,1.33058366714977
default,1,0.812304916791618
default,1,1.17227762495168
default,2,1.2962970410008
default,2,1.3001640830189
default,2,1.35775454086252
default,2,1.64182133297436
default,1,1.10029762494378
default,2,1.50829991605133
default,2,1.50826191599481
default,2,1.62026866688393
