Image1,Time_Condition,Response
default,2,1.1322712500114
default,1,1.16028700000606
default,2,2.17631916585378
default,1,0.520273125031963
default,1,0.900263000046834
default,1,1.03627412486821
default,2,1.45628325012513
default,2,1.492282750085
default,1,0.840249833185226
default,1,0.783333791187033
default,1,0.768309625098482
default,1,1.02430612500757
default,2,1.23381579201669
default,2,1.15629320801236
default,2,1.10029299999587
default,1,1.09626887505874
default,1,0.868395375087857
default,2,1.25781024992466
default,2,1.14984895801172
default,2,2.45777508290485
