Image1,Time_Condition,Response
default,2,1.72030429099686
default,1,1.00029691704549
default,2,1.77626933390275
default,1,1.25227933400311
default,1,0.920303999911994
default,1,1.2202968748752
default,2,1.36028674989939
default,2,2.07778920792043
default,1,1.03229779098183
default,1,0.828298709122464
default,1,0.524292249931023
default,1,0.904290083097294
default,2,2.04419724992476
default,2,1.5560790412128
default,2,1.88425054191612
default,1,0.784304999979213
default,1,1.11228812509216
default,2,1.50428808410652
default,2,2.44829704216681
default,2,2.1577564580366
