Image1,Time_Condition,Response
default,2,1.85623937495984
default,1,0.696305040968582
default,2,1.18651475012302
default,1,0.620288833044469
default,1,0.7603031671606
default,1,0.940291667124256
default,2,1.12432112498209
default,2,1.28984733391553
default,1,0.668325708014891
default,1,0.800302125047892
default,1,0.580317666986957
default,1,0.832261125091463
default,2,1.37382641690783
default,2,1.31782395811751
default,2,2.02833916596137
default,1,0.900302542140707
default,1,0.648295958992094
default,2,1.60824774997309
default,2,1.32985766720958
default,2,1.261842292035
